"province","city","NumberOfRefugee","Population","lat","lon","support"
NT,YellowKnife,0,44100,62.45397,-114.37179,0.0
NV,Iqaluit,0,36900,63.74669,-68.51697,0.0 
YT,Whitehorse,0,37400,60.72119,-135.05684,0.0
AB,Edmonton,3000,4196500,53.54439,-113.49093,0.33
SK,Regina,2000,1133600,50.44521,-104.61889,0.37
MB,Winnipeg,3000,1293400,49.89975,-97.13749,0.37
QC,Quebec,5700,8263600,46.80328,-71.24280,0.40
ON,Toronto,10000,1379210,43.65323,-79.38318,0.43
BC,Victoria,3000,4683100,48.42842,-123.36564,0.47
NL,St.Johns,700,527800,47.56054,-52.71283,0.50
PEI,Charlottetown,0,146400,46.23824,-63.13107,0.50
NS,Halifax,100,943000,44.64886,-63.57532,0.50
NB,Fredericton,1500,753900,45.96359,-66.64312,0.50
